LOGIN;DATE;AVERAGE;IN ACTIVE;IN IDLE;OUT ACTIVE;OUT IDLE
promte_a;2014/11/24;23116,69;16648,29;0;0;0
provos_m;2014/11/24;23116,69;12485,57;216,14;24193,43;31110,71
quinzi_v;2014/11/24;23116,69;0;0;0;0
radola_s;2014/11/24;23116,69;16271,14;373;517;0
rajase_d;2014/11/24;23116,69;23929;0,57;4448,57;0
rakoto_m;2014/11/24;23116,69;17038,86;2,43;3045,57;0
randri_c;2014/11/24;23116,69;17517,14;221,29;498,71;0
reiatu_t;2014/11/24;23116,69;12977,29;0;867;0
rene_a;2014/11/24;23116,69;22876;0;1955,86;0
ribeir_c;2014/11/24;23116,69;19127,86;0,29;0;0
ribeir_s;2014/11/24;23116,69;4385,86;149,43;0;0
ries_f;2014/11/24;23116,69;15451,57;145,43;8959,57;0
rieux-_t;2014/11/24;23116,69;15554,57;0;0;0
rimokh_y;2014/11/24;23116,69;10370,29;0,14;3974;0
robin_f;2014/11/24;23116,69;14474,86;0;15458,14;0
roche_g;2014/11/24;23116,69;9912,29;0;4460,29;0
rochef_q;2014/11/24;23116,69;9530,86;2,86;14107,29;0
rochon_k;2014/11/24;23116,69;17786,86;0;12118,86;0
rodrig_0;2014/11/24;23116,69;12259,14;0;252,86;0
rodrig_z;2014/11/24;23116,69;21692,29;179,71;0;0
rombou_t;2014/11/24;23116,69;7820;0;0;0
rousee_g;2014/11/24;23116,69;17953,29;88,29;0;0
rouss_p;2014/11/24;23116,69;21748,71;1;0;0
roy_p;2014/11/24;23116,69;11574,86;0;2261,43;658,14
ruelle_l;2014/11/24;23116,69;13045,57;811,71;15415,14;0
ruotte_b;2014/11/24;23116,69;1931,29;0;5315,29;0
rusch_y;2014/11/24;23116,69;12695,71;0;2155,57;0
saidi_d;2014/11/24;23116,69;22490,57;165;1505,43;0
salabe_f;2014/11/24;23116,69;25717,29;96,43;0;0
sallan_t;2014/11/24;23116,69;10848,57;234,43;0;0
salnik_a;2014/11/24;23116,69;10352,14;0;14429,43;0
sariha_a;2014/11/24;23116,69;9935,71;819;700;0
saumur_f;2014/11/24;23116,69;8127;1329,29;0;0
sauvag_c;2014/11/24;23116,69;9594,86;2444,43;0;0
sayavo_f;2014/11/24;23116,69;23257,86;0;0;0
sayyou_y;2014/11/24;23116,69;11927,14;3,57;2660,71;2,71
schuch_v;2014/11/24;23116,69;21863;470;1815,43;0
sebaou_d;2014/11/24;23116,69;25932,71;5,14;0;0
sida_b;2014/11/24;23116,69;25126,29;0;2;0
sikora_n;2014/11/24;23116,69;17541,86;204;1181,86;0
simomb_s;2014/11/24;23116,69;26266;0;7582,29;0
sinou_j;2014/11/24;23116,69;12524,57;0;3504,86;0
sisca_m;2014/11/24;23116,69;17381;0;5595,57;0
sivaku_v;2014/11/24;23116,69;10009,29;0;2299,43;0
sok_c;2014/11/24;23116,69;17172,57;9987,71;0;0
sollac_a;2014/11/24;23116,69;7334,86;0;0;0
sommer_b;2014/11/24;23116,69;14521,14;0;4811,29;0
soulie_a;2014/11/24;23116,69;4288;0;3600,43;0
soumph_s;2014/11/24;23116,69;10853,29;98,43;63,57;0
staian_j;2014/11/24;23116,69;2730,14;125,29;1838,14;0
staian_m;2014/11/24;23116,69;5972,86;23;21505,29;820,57
stoilo_s;2014/11/24;23116,69;11645,14;51,57;21200,86;0
sufran_n;2014/11/24;23116,69;2514,71;205,14;3483,29;0
ta_r;2014/11/24;23116,69;11919;3649,14;2205,43;0
teeloc_k;2014/11/24;23116,69;18665,71;257,29;12,57;0
tehami_m;2014/11/24;23116,69;2386,71;0;18714,43;4439,71
teko_j;2014/11/24;23116,69;28263,43;0;0;0
theet_a;2014/11/24;23116,69;2180,57;0;612;0
theme_g;2014/11/24;23116,69;18780,14;0;16014,43;0
thiawk_j;2014/11/24;23116,69;26276;270,86;574,43;0
thomis_j;2014/11/24;23116,69;0;0;0;0
thouch_n;2014/11/24;23116,69;18412,14;0;2380,57;0
togbe_m;2014/11/24;23116,69;12702,71;48,71;15940,57;1933,43
tonnel_c;2014/11/24;23116,69;22860,86;1,14;14,14;0
toutai_b;2014/11/24;23116,69;13942,86;0;179,14;0
tran_9;2014/11/24;23116,69;27612,71;0;774,29;0
trantu_j;2014/11/24;23116,69;3294,14;0;0;0
trinel_t;2014/11/24;23116,69;6395;295,71;0;0
tripot_l;2014/11/24;23116,69;14695,71;119,29;509,57;79,86
truong_j;2014/11/24;23116,69;4073,71;0;5246,43;0
turenn_r;2014/11/24;23116,69;14311,14;589;8169,43;398,29
turpau_g;2014/11/24;23116,69;17224,57;182,43;174,43;0
ung_i;2014/11/24;23116,69;13861,71;0;3129;3,71
ung_p;2014/11/24;23116,69;13443,57;0;21377,29;0
valent_b;2014/11/24;23116,69;19038,43;659,57;348;0
vallan_n;2014/11/24;23116,69;0;0;14777,14;28250,14
vannoo_a;2014/11/24;23116,69;17383,29;0,14;15700,43;39,29
vautie_a;2014/11/24;23116,69;20005,43;77,71;25306,43;5466,14
vental_k;2014/11/24;23116,69;15768,29;7,86;0;0
weyl_t;2014/11/24;23116,69;16789,29;0;30975,43;4968,43
wroble_h;2014/11/24;23116,69;17897,14;0,86;4790;223,86
yapo_k;2014/11/24;23116,69;44638;0;6887,86;0
yeme_o;2014/11/24;23116,69;9990,57;0;6483;0
yogana_a;2014/11/24;23116,69;16248,86;81;636,14;0
zhu_e;2014/11/24;23116,69;23830,86;0,29;253,29;0
zordan_n;2014/11/24;23116,69;22242,43;339,29;0;0
zraibi_e;2014/11/24;23116,69;0;0;0;0
